account_id,associate_id,origination_date,account_balance,is_migrated,days_delinquent,cured_flag,last_payment_date,delinquency_status
66,1,2024-01-24,86468,1,0,0,2025-04-12,Current
67,12,2024-03-08,473914,0,0,0,2022-12-27,Current
68,8,2024-12-12,191727,0,0,0,2024-09-11,Current
69,24,2024-04-18,228969,1,60,0,2024-06-10,30-60
70,11,2023-07-12,473291,0,120,0,2025-08-08,90+
71,19,2025-04-13,452575,1,0,0,2023-10-09,Current
72,17,2023-11-24,441192,0,0,0,2023-12-20,Current
73,8,2022-01-07,286187,0,0,1,2023-03-09,Current
74,3,2025-03-10,92056,1,60,0,2024-03-22,30-60
75,3,2025-06-25,101831,0,0,0,2024-04-08,Current
76,1,2023-04-29,371335,0,0,0,2023-10-03,Current
77,5,2022-02-25,299664,0,0,0,2024-08-21,Current
78,10,2023-07-24,434092,0,0,0,2024-04-24,Current
79,7,2024-11-11,476488,0,90,1,2024-10-13,60-90
80,9,2023-08-26,158117,1,0,0,2023-03-07,Current
81,7,2024-12-30,326815,0,0,0,2025-12-26,Current
82,9,2023-06-21,339192,0,0,0,2023-12-13,Current
83,8,2022-06-23,338107,1,0,0,2022-08-07,Current
84,12,2022-04-26,93954,0,15,0,2022-11-15,Early
85,2,2022-05-02,283192,0,0,0,2024-07-13,Current
86,1,2023-07-09,407574,0,0,1,2025-02-06,Current
87,16,2024-03-03,50717,1,60,0,2022-01-20,30-60
88,23,2025-06-29,323820,0,0,0,2022-09-22,Current
89,23,2023-12-06,447650,0,15,1,2025-02-28,Early
90,24,2022-09-03,230882,0,0,1,2022-10-20,Current
91,5,2023-01-22,168696,0,0,1,2025-03-11,Current
92,3,2023-09-02,442974,0,15,0,2025-05-26,Early
93,12,2025-07-31,54994,0,60,0,2022-05-09,30-60
94,8,2025-02-09,316378,0,15,1,2022-10-26,Early
95,22,2024-02-01,119300,1,0,0,2025-05-08,Current
96,3,2025-03-12,356093,0,0,0,2022-01-21,Current
97,1,2025-02-06,87405,0,0,1,2025-12-13,Current
98,3,2024-01-15,347016,0,0,0,2022-06-02,Current
99,5,2024-08-03,354359,0,15,1,2022-08-27,Early
100,15,2024-05-06,73185,0,0,1,2024-03-06,Current
101,14,2022-12-24,224514,0,0,1,2025-09-11,Current
102,3,2022-05-24,494975,0,15,0,2024-04-17,Early
103,1,2024-03-01,353297,0,0,0,2025-03-30,Current
104,5,2023-02-06,389679,0,15,1,2025-11-08,Early
105,23,2022-02-04,183653,0,0,1,2025-12-22,Current
106,14,2025-01-01,101717,0,0,0,2025-08-17,Current
107,7,2024-11-26,52763,0,90,0,2022-05-16,60-90
108,9,2023-10-27,405054,0,0,1,2023-03-24,Current
109,15,2024-08-01,105480,0,0,0,2022-08-21,Current
110,15,2024-03-16,219831,0,15,0,2023-09-15,Early
111,10,2024-07-12,257139,1,90,0,2025-12-01,60-90
112,13,2024-10-23,168094,0,120,0,2022-11-18,90+
113,19,2025-12-24,206379,0,15,1,2022-03-21,Early
114,7,2024-02-18,277443,0,0,0,2023-10-10,Current
115,17,2023-01-06,61064,0,60,0,2024-12-08,30-60
116,20,2023-03-14,126848,0,15,0,2024-05-05,Early
117,4,2024-07-16,87548,1,0,0,2022-06-13,Current
118,5,2025-11-02,218017,0,60,0,2024-06-23,30-60
119,23,2024-01-27,491153,1,0,1,2024-06-16,Current
120,7,2025-04-10,318620,1,0,0,2022-02-07,Current
121,13,2022-03-06,494972,0,60,0,2022-12-19,30-60
122,15,2024-09-28,402245,0,0,0,2022-03-06,Current
123,11,2023-06-22,52382,0,0,0,2023-07-07,Current
124,4,2022-08-21,492899,0,0,0,2025-09-27,Current
125,13,2024-06-16,226348,1,15,0,2025-09-03,Early
126,7,2023-03-30,476618,0,0,0,2023-02-27,Current
127,19,2022-08-26,470162,1,0,0,2025-03-14,Current
128,22,2024-11-28,129698,0,15,0,2022-04-30,Early
129,2,2025-02-05,295762,1,60,1,2025-09-26,30-60
130,10,2024-09-23,293381,1,0,1,2024-04-18,Current
131,13,2025-06-02,465551,0,30,0,2025-09-30,Early
132,25,2022-11-12,95095,0,30,0,2022-10-14,Early
133,21,2025-06-18,442118,0,15,1,2023-01-14,Early
134,6,2023-06-28,339341,1,0,0,2023-10-14,Current
135,12,2023-10-21,439763,1,60,1,2025-10-29,30-60
136,12,2024-11-23,72010,1,0,0,2025-10-31,Current
137,20,2023-09-21,467339,0,0,0,2023-09-12,Current
138,11,2022-01-27,400067,0,0,1,2022-03-06,Current
139,23,2025-07-04,183962,1,30,0,2022-08-13,Early
140,25,2022-08-01,442670,0,0,0,2025-11-28,Current
141,7,2023-04-25,159162,1,0,1,2023-01-08,Current
142,1,2025-08-25,433071,0,15,1,2024-05-25,Early
143,1,2022-12-06,320170,0,60,0,2022-02-01,30-60
144,25,2024-11-02,377069,0,15,0,2025-03-29,Early
145,25,2024-01-28,118842,0,0,0,2023-08-27,Current
146,20,2024-07-09,345809,0,0,1,2025-12-19,Current
147,13,2022-08-04,321421,0,15,1,2024-05-10,Early
148,9,2024-04-19,223311,0,0,1,2023-07-28,Current
149,3,2025-07-05,490880,0,15,1,2024-12-17,Early
150,7,2022-09-21,360152,0,0,0,2023-04-05,Current
151,6,2025-06-17,326827,0,60,1,2023-11-26,30-60
152,8,2024-05-22,181742,1,0,1,2025-06-22,Current
153,9,2022-09-19,270283,0,0,1,2024-06-01,Current
154,5,2024-05-25,198961,1,60,0,2022-01-11,30-60
155,1,2025-02-11,498828,0,0,1,2024-05-13,Current
156,19,2022-02-23,225607,0,0,0,2023-11-19,Current
157,10,2024-07-19,390686,0,60,0,2024-07-17,30-60
158,12,2022-10-31,366463,0,0,0,2022-04-22,Current
159,24,2025-04-29,295144,0,0,0,2022-04-27,Current
160,15,2023-05-18,404211,0,0,0,2024-04-14,Current
161,22,2022-03-10,202711,0,0,1,2024-05-10,Current
162,24,2022-10-23,245784,0,0,0,2023-05-08,Current
163,9,2023-04-11,459849,0,30,0,2024-04-22,Early
164,20,2023-07-14,302217,0,15,0,2025-02-19,Early
165,17,2024-12-18,477876,0,0,1,2023-12-06,Current
166,17,2023-05-21,381119,0,0,0,2022-12-22,Current
167,20,2024-03-01,213244,0,90,0,2023-06-29,60-90
168,12,2025-10-09,151158,0,120,0,2024-06-06,90+
169,7,2022-10-03,323721,0,0,0,2022-03-31,Current
170,2,2025-07-21,389443,1,30,1,2024-12-26,Early
171,3,2025-10-02,332320,1,30,1,2023-08-19,Early
172,17,2025-03-21,487602,0,0,1,2025-09-26,Current
173,5,2022-11-02,113972,0,0,0,2025-03-09,Current
174,17,2022-10-27,432162,0,0,0,2022-09-03,Current
175,24,2025-04-23,484219,0,60,0,2022-07-20,30-60
176,17,2024-09-08,332140,0,30,0,2022-01-15,Early
177,17,2024-02-06,150922,0,15,0,2025-08-02,Early
178,2,2024-12-02,398742,0,0,0,2025-07-15,Current
179,2,2023-11-16,85931,0,15,0,2022-11-29,Early
180,22,2023-03-09,174168,0,30,1,2025-02-13,Early
181,23,2022-02-21,216782,0,60,1,2024-02-09,30-60
182,5,2025-05-19,173099,0,0,0,2024-11-26,Current
183,1,2023-11-26,84693,0,15,0,2024-01-28,Early
184,1,2023-08-06,478956,0,0,1,2023-11-09,Current
185,19,2025-08-01,158944,0,30,0,2022-06-03,Early
186,2,2025-07-28,274655,0,15,1,2022-06-01,Early
187,21,2022-09-04,257574,0,0,0,2023-03-30,Current
188,12,2023-03-07,329518,0,30,1,2025-05-28,Early
189,6,2024-11-21,297572,1,0,1,2025-12-07,Current
190,23,2022-05-10,393615,0,60,0,2025-04-17,30-60
191,4,2023-03-08,95913,1,0,0,2024-11-13,Current
192,23,2022-08-29,435827,0,15,0,2022-12-17,Early
193,11,2023-06-30,247097,0,90,1,2024-08-31,60-90
194,24,2023-03-13,356660,0,0,0,2025-04-06,Current
195,17,2023-06-23,137796,0,0,0,2025-07-31,Current
196,6,2024-02-25,338213,0,0,0,2024-03-17,Current
197,24,2023-03-30,430477,0,0,1,2022-09-21,Current
198,5,2025-05-02,499449,1,15,1,2023-06-29,Early
199,20,2024-06-27,134811,1,30,0,2022-06-28,Early
200,2,2024-05-30,240121,0,60,0,2025-04-20,30-60
201,6,2025-11-22,282892,0,60,0,2024-07-19,30-60
202,22,2024-02-10,430172,0,0,0,2022-08-21,Current
203,11,2025-09-15,89178,0,30,0,2025-05-07,Early
204,16,2024-12-02,344965,1,30,0,2023-08-12,Early
205,16,2025-09-05,494943,1,0,1,2025-03-24,Current
206,1,2023-12-22,66999,1,0,0,2025-02-24,Current
207,9,2024-11-04,350856,0,0,1,2023-07-06,Current
208,6,2024-12-23,245623,0,60,0,2023-02-17,30-60
209,16,2024-04-29,221244,0,15,0,2023-02-05,Early
210,3,2025-02-15,345866,1,30,0,2023-04-30,Early
211,20,2022-04-25,322769,0,0,0,2022-05-03,Current
212,4,2025-09-23,248237,0,90,0,2025-04-01,60-90
213,19,2024-12-22,56859,0,0,1,2024-05-04,Current
214,3,2025-04-15,484825,1,15,0,2023-12-14,Early
215,19,2023-05-30,486523,0,0,0,2024-03-18,Current
216,20,2023-10-24,160986,0,0,1,2023-05-01,Current
217,7,2023-12-03,282654,1,30,0,2022-09-19,Early
218,20,2024-08-07,333983,1,90,0,2025-07-31,60-90
219,9,2024-05-28,339360,0,0,0,2025-02-20,Current
220,1,2023-07-03,365097,0,0,1,2024-06-04,Current
221,8,2022-11-27,99522,1,0,1,2022-11-06,Current
222,7,2025-01-28,280233,1,0,0,2023-12-23,Current
223,18,2022-07-27,448102,0,0,0,2025-11-24,Current
224,8,2025-09-23,423393,0,30,1,2025-10-01,Early
225,1,2024-10-01,57485,0,90,1,2025-08-27,60-90
226,11,2022-08-20,474671,1,0,0,2023-05-22,Current
227,25,2022-02-28,293056,0,15,1,2023-10-26,Early
228,25,2023-12-23,459983,0,0,0,2024-11-02,Current
229,18,2022-09-06,162701,0,0,0,2023-06-04,Current
230,23,2023-08-23,471669,1,0,0,2025-02-21,Current
231,10,2024-05-07,257352,0,15,0,2022-04-13,Early
232,3,2025-07-12,152638,0,0,0,2024-11-17,Current
233,7,2022-03-06,234514,0,0,1,2022-09-06,Current
234,16,2025-03-03,495093,0,0,0,2024-03-22,Current
235,16,2025-07-10,324370,0,0,0,2023-10-31,Current
236,25,2022-09-25,143405,0,0,0,2025-07-01,Current
237,20,2023-12-29,334732,0,60,1,2023-05-17,30-60
238,17,2023-09-09,260048,1,30,1,2022-05-15,Early
239,2,2023-02-23,212781,0,60,0,2022-01-09,30-60
240,1,2024-01-18,491004,0,0,0,2024-01-14,Current
241,16,2022-04-08,87019,0,0,0,2023-03-01,Current
242,12,2024-01-27,488164,0,0,0,2025-08-22,Current
243,5,2022-04-18,311497,0,0,0,2023-10-13,Current
244,5,2024-12-29,115133,1,30,0,2022-12-27,Early
245,23,2024-03-07,426588,0,0,1,2024-12-22,Current
246,9,2025-06-02,247530,0,0,0,2023-05-08,Current
247,9,2024-04-28,429747,1,15,0,2023-11-23,Early
248,3,2025-08-29,208598,0,0,0,2025-02-10,Current
249,19,2025-06-29,178585,1,120,0,2022-10-29,90+
250,16,2025-04-23,495414,0,0,0,2022-08-15,Current
251,16,2025-12-01,295172,0,15,0,2024-02-18,Early
252,3,2025-09-08,355539,0,0,1,2022-07-10,Current
253,20,2023-12-04,467247,0,120,0,2022-04-12,90+
254,24,2024-09-28,175814,0,0,0,2022-07-21,Current
255,22,2022-05-05,480917,0,15,0,2022-02-23,Early
256,24,2025-07-11,424743,0,0,1,2023-07-27,Current
257,1,2024-10-17,75939,1,30,0,2025-01-13,Early
258,24,2024-01-05,492361,0,0,1,2024-03-18,Current
259,20,2022-04-22,463540,1,0,0,2025-10-24,Current
260,11,2023-01-01,203939,0,60,0,2023-02-12,30-60
261,17,2023-07-13,312347,0,90,1,2025-05-13,60-90
262,8,2022-01-28,459760,1,0,0,2022-08-28,Current
263,4,2024-07-05,459115,0,60,0,2024-07-26,30-60
264,6,2023-04-11,341207,1,0,0,2024-05-05,Current
265,8,2024-10-16,140880,0,60,1,2022-12-27,30-60
266,20,2022-11-15,53748,0,15,0,2023-11-12,Early
267,3,2024-08-10,286094,0,0,0,2024-12-26,Current
268,16,2024-11-25,429413,0,60,0,2023-06-11,30-60
269,25,2024-02-06,392908,0,60,0,2025-08-23,30-60
270,3,2025-05-02,201956,0,0,0,2025-09-17,Current
271,25,2024-10-29,206255,0,30,0,2022-10-08,Early
272,18,2025-06-26,420180,0,0,0,2024-08-03,Current
273,14,2025-03-25,200331,0,60,0,2025-04-27,30-60
274,18,2023-05-02,217031,0,15,0,2022-05-27,Early
275,2,2024-02-12,428669,0,0,0,2022-03-20,Current
276,22,2025-04-07,476673,1,15,0,2023-01-17,Early
277,3,2025-05-16,397823,1,15,1,2024-08-28,Early
278,16,2024-01-28,175829,0,15,1,2025-01-26,Early
279,9,2022-08-08,178216,1,0,0,2022-05-09,Current
280,4,2022-07-09,445319,0,0,1,2024-09-17,Current
281,1,2023-10-10,115901,1,30,1,2024-04-23,Early
282,4,2024-10-28,293386,0,0,0,2023-03-04,Current
283,1,2025-12-16,225607,0,0,0,2023-08-31,Current
284,14,2025-10-19,459319,0,15,0,2024-01-30,Early
285,21,2024-02-24,148046,0,0,1,2023-12-29,Current
286,16,2023-07-09,402156,0,15,0,2025-12-27,Early
287,20,2022-08-12,128278,0,15,0,2025-08-09,Early
288,24,2022-02-19,324535,1,15,0,2023-09-15,Early
289,8,2025-09-02,152476,0,0,1,2025-07-07,Current
290,7,2022-12-28,472117,0,0,0,2025-10-31,Current
291,3,2024-06-20,432865,0,0,1,2024-03-20,Current
292,17,2022-05-19,147537,0,30,1,2024-09-16,Early
293,1,2022-10-24,393303,0,0,0,2023-06-27,Current
294,16,2024-02-29,443184,0,90,0,2024-01-31,60-90
295,12,2023-03-21,231429,0,15,0,2023-02-04,Early
296,19,2022-11-02,267980,0,60,1,2023-12-19,30-60
297,22,2025-04-01,481653,0,0,1,2022-08-10,Current
298,23,2023-12-22,347647,1,0,1,2025-11-01,Current
299,22,2022-09-11,125403,1,60,0,2024-10-03,30-60
300,14,2022-07-09,484474,0,0,0,2023-04-06,Current
301,6,2022-12-20,476940,0,0,0,2024-01-16,Current
302,6,2023-02-05,114286,0,0,0,2024-06-13,Current
303,13,2023-06-10,386986,0,90,1,2023-03-26,60-90
304,19,2024-10-22,154927,0,15,0,2024-06-26,Early
305,22,2025-09-28,327052,0,15,0,2023-02-25,Early
306,8,2024-09-25,493842,1,30,0,2022-11-15,Early
307,2,2025-09-07,349372,0,0,0,2023-01-16,Current
308,21,2025-06-23,73386,0,30,0,2024-05-07,Early
309,1,2024-06-09,227826,0,0,0,2022-10-16,Current
310,15,2025-03-02,340446,0,60,1,2024-05-15,30-60
311,1,2023-07-15,372959,0,0,0,2025-10-24,Current
312,5,2023-12-18,302156,0,0,0,2025-12-14,Current
313,16,2023-10-27,375488,0,0,0,2025-01-15,Current
314,19,2025-06-25,478834,0,0,1,2025-06-20,Current
315,4,2022-09-15,423747,0,15,0,2024-01-18,Early
316,3,2024-05-05,373258,0,0,1,2022-01-24,Current
317,17,2022-11-23,298724,0,0,0,2024-11-06,Current
318,17,2022-09-09,251202,0,0,0,2025-01-05,Current
319,12,2023-08-07,75525,0,15,0,2025-09-20,Early
320,14,2023-04-02,129818,1,0,0,2025-10-03,Current
321,21,2022-05-07,164589,0,15,1,2023-09-20,Early
322,6,2023-08-21,195406,1,0,0,2022-05-18,Current
323,3,2024-06-29,144715,1,0,0,2022-04-28,Current
324,9,2022-05-06,243839,0,0,0,2022-12-10,Current
325,5,2024-10-15,318788,0,90,1,2025-04-11,60-90
326,24,2022-05-26,413298,1,15,1,2025-01-12,Early
327,17,2025-06-30,476149,0,0,0,2025-12-14,Current
328,14,2023-07-08,307438,0,15,0,2022-08-24,Early
329,21,2022-09-01,355613,1,60,1,2025-05-15,30-60
330,3,2024-06-21,476903,0,0,1,2022-10-26,Current
331,1,2022-05-19,418753,0,60,0,2024-02-04,30-60
332,20,2024-04-21,495872,0,0,0,2023-02-07,Current
333,21,2025-11-09,460591,1,60,1,2024-05-17,30-60
334,23,2022-04-11,377350,0,0,0,2023-01-04,Current
335,1,2025-02-17,408606,0,0,0,2022-09-29,Current
336,3,2024-02-05,217679,1,0,1,2023-02-18,Current
337,18,2022-05-11,133178,0,120,0,2022-05-03,90+
338,25,2022-02-09,467209,0,30,1,2025-10-10,Early
339,10,2022-08-23,225458,0,15,0,2023-05-27,Early
340,22,2022-10-22,304466,0,0,1,2022-10-16,Current
341,3,2022-04-22,489503,0,0,0,2022-07-26,Current
342,8,2023-08-02,136724,0,0,1,2022-01-28,Current
343,14,2024-12-26,279204,0,0,0,2025-06-29,Current
344,24,2025-10-06,146393,1,0,0,2022-11-12,Current
345,18,2024-07-08,439458,0,60,0,2025-02-25,30-60
346,15,2024-11-01,126312,0,15,1,2024-07-09,Early
347,22,2022-07-21,387468,0,0,0,2024-10-04,Current
348,23,2025-08-27,121196,1,15,0,2024-05-25,Early
349,2,2022-10-29,120014,0,90,0,2023-04-04,60-90
350,10,2023-12-07,451426,0,30,0,2024-05-31,Early
351,2,2023-01-06,191994,0,15,0,2022-05-31,Early
352,17,2023-08-14,479505,0,90,1,2023-11-12,60-90
353,8,2023-06-09,83340,0,30,0,2024-08-08,Early
354,1,2025-11-25,351994,0,0,0,2023-10-04,Current
355,9,2025-06-07,163711,0,0,1,2025-11-21,Current
356,11,2024-01-14,265250,1,90,0,2024-03-07,60-90
357,22,2025-03-06,61094,0,0,0,2023-11-23,Current
358,16,2024-09-29,400103,0,0,0,2024-02-20,Current
359,7,2025-07-23,476634,0,0,0,2024-06-05,Current
360,10,2023-05-28,317885,1,15,0,2024-06-01,Early
361,23,2022-01-31,161585,0,120,0,2023-01-09,90+
362,3,2023-02-05,434708,1,0,1,2023-09-19,Current
363,18,2023-08-12,118798,1,0,0,2025-04-13,Current
364,25,2022-05-16,428170,0,60,0,2022-03-10,30-60
365,24,2024-09-16,251604,0,0,1,2022-05-19,Current
366,13,2023-03-07,160130,0,0,0,2024-08-15,Current
367,7,2022-04-19,334308,0,90,1,2023-08-22,60-90
368,25,2025-08-29,216667,0,0,0,2025-05-22,Current
369,4,2023-09-26,80257,0,0,0,2024-02-04,Current
370,13,2023-05-18,457427,1,15,0,2025-10-29,Early
371,20,2024-11-25,408133,0,0,0,2024-09-26,Current
372,1,2024-11-14,448448,1,90,0,2024-07-21,60-90
373,8,2022-12-22,102691,0,0,0,2022-10-23,Current
374,14,2025-04-04,129768,0,0,0,2023-08-07,Current
375,16,2024-05-12,468829,1,0,0,2025-08-25,Current
376,14,2024-12-03,64026,0,0,0,2024-12-05,Current
377,12,2022-09-20,496751,0,30,0,2024-05-08,Early
378,19,2025-12-20,275162,0,30,0,2025-03-16,Early
379,23,2024-09-13,343052,0,90,0,2024-08-24,60-90
380,15,2025-01-08,495329,0,0,0,2022-02-23,Current
381,2,2024-08-18,69610,0,30,0,2024-01-10,Early
382,2,2025-06-17,227718,0,0,0,2023-05-18,Current
383,23,2023-10-24,375329,1,30,0,2022-08-04,Early
384,22,2023-08-08,384711,0,30,0,2023-08-06,Early
385,19,2023-02-02,228646,1,0,1,2022-08-08,Current
386,25,2022-01-04,272123,0,0,0,2022-10-23,Current
387,22,2024-06-22,348326,0,0,0,2023-08-27,Current
388,22,2022-05-22,428280,0,15,1,2025-10-10,Early
389,17,2024-05-07,443786,0,90,1,2025-05-28,60-90
390,20,2025-05-21,69288,1,0,1,2023-05-13,Current
391,10,2024-12-12,390968,0,0,0,2025-12-18,Current
392,6,2025-08-21,473093,0,0,0,2024-01-22,Current
393,15,2022-10-09,134425,0,30,1,2025-03-09,Early
394,22,2024-08-28,50917,0,0,1,2025-09-12,Current
395,11,2024-04-28,387746,1,0,0,2022-12-25,Current
396,5,2022-09-01,376719,1,0,0,2022-05-09,Current
397,1,2025-02-26,384662,0,15,1,2022-06-19,Early
398,8,2022-05-21,303187,0,0,0,2025-07-07,Current
399,21,2025-04-17,89104,0,30,0,2024-09-08,Early
400,12,2023-06-04,199134,0,0,0,2025-07-29,Current
401,12,2023-02-18,329143,1,0,0,2024-04-19,Current
402,5,2023-10-22,312091,0,0,0,2022-11-02,Current
403,7,2023-10-21,453157,0,0,0,2023-01-21,Current
404,4,2024-01-20,111169,0,0,1,2025-10-07,Current
405,6,2024-09-29,204542,1,0,0,2025-11-09,Current
406,13,2023-08-08,179744,0,15,0,2025-04-16,Early
407,20,2025-07-07,422828,0,0,1,2022-04-25,Current
408,15,2024-03-08,109821,0,0,0,2022-10-14,Current
409,3,2024-02-22,267741,0,60,0,2022-09-20,30-60
410,23,2024-05-31,299265,1,15,0,2023-02-25,Early
411,8,2022-08-20,487651,0,30,0,2023-12-21,Early
412,20,2024-11-18,447745,0,60,0,2023-05-13,30-60
413,16,2025-07-06,264127,0,0,0,2022-05-07,Current
414,13,2023-07-13,324336,0,30,1,2022-08-29,Early
415,18,2025-10-07,386246,0,0,1,2024-02-22,Current
416,10,2022-01-18,253834,0,0,0,2025-10-29,Current
417,19,2025-11-26,284538,0,0,0,2025-01-04,Current
418,17,2024-06-22,427038,0,0,0,2025-08-30,Current
419,24,2025-09-08,136795,0,0,0,2024-03-23,Current
420,19,2025-05-15,215159,1,0,0,2024-09-06,Current
421,23,2024-02-04,378821,0,0,1,2023-12-18,Current
422,5,2025-12-09,185699,0,0,0,2026-01-01,Current
423,21,2024-12-08,499757,0,0,0,2022-06-01,Current
424,23,2025-11-24,293877,0,0,0,2022-10-06,Current
425,9,2023-07-17,249298,0,0,0,2023-02-23,Current
426,12,2022-11-13,446471,1,0,1,2023-04-23,Current
427,21,2022-08-24,238505,0,15,1,2025-06-12,Early
428,1,2024-06-03,186285,0,0,0,2024-09-01,Current
429,1,2024-04-17,152412,0,60,0,2025-02-22,30-60
430,15,2025-11-13,69404,0,30,1,2024-06-10,Early
431,2,2025-11-29,166545,0,0,1,2025-12-24,Current
432,22,2022-07-11,468596,0,30,1,2025-11-28,Early
433,16,2022-06-28,272128,0,0,0,2024-06-15,Current
434,25,2025-03-12,200245,0,0,0,2023-03-22,Current
435,8,2025-06-23,234099,1,60,0,2022-07-08,30-60
436,13,2025-12-09,336133,1,0,0,2022-07-10,Current
437,21,2023-03-28,311657,0,90,1,2022-11-09,60-90
438,1,2022-11-26,420250,0,15,0,2022-07-15,Early
439,16,2025-12-13,336663,1,0,0,2022-11-06,Current
440,7,2022-08-10,306875,0,0,0,2023-04-22,Current
441,5,2022-07-03,334583,0,0,1,2022-07-21,Current
442,22,2023-03-04,430714,1,0,0,2025-02-09,Current
443,23,2022-07-12,64995,1,0,0,2025-07-10,Current
444,3,2023-04-30,73559,0,30,0,2024-11-18,Early
445,12,2023-10-13,401193,0,0,0,2025-06-27,Current
446,16,2024-03-24,448237,0,0,0,2023-03-08,Current
447,19,2024-09-20,148000,0,0,0,2023-05-27,Current
448,5,2025-03-18,202191,0,60,1,2025-08-16,30-60
449,22,2024-08-20,494755,0,0,0,2025-10-03,Current
450,25,2022-11-14,351494,0,0,0,2024-11-27,Current
451,14,2022-08-23,489439,0,90,1,2022-06-12,60-90
452,5,2025-10-01,75517,0,0,1,2022-02-09,Current
453,15,2025-07-12,465466,0,0,0,2022-04-11,Current
454,17,2024-01-19,265558,0,30,0,2024-07-23,Early
455,14,2025-07-31,401276,0,30,0,2023-12-29,Early
456,20,2022-12-15,497415,1,0,0,2025-04-30,Current
457,5,2022-09-02,371690,0,0,1,2022-07-23,Current
458,12,2025-11-22,155686,1,30,1,2022-02-16,Early
459,16,2024-03-14,138151,1,0,0,2025-07-14,Current
460,16,2024-01-05,315471,0,90,0,2023-05-01,60-90
461,21,2024-05-28,170318,0,0,0,2025-01-24,Current
